,age,race,prior,gender,juvenilecrime,currentcharge
0,0,0,1,1,1,0
1,0,1,1,1,1,0
2,0,1,0,1,0,0
3,0,1,0,1,0,0
4,0,0,0,1,1,0
5,0,0,1,1,1,1
6,0,0,0,1,1,0
7,0,0,0,1,1,0
8,0,0,1,0,1,1
9,0,0,0,1,1,0
10,0,1,0,1,1,1
11,0,1,1,1,1,0
12,0,0,0,0,1,0
13,0,1,0,1,1,0
14,0,0,1,1,1,1
15,0,1,0,1,1,0
16,0,0,0,1,1,0
17,0,1,0,1,1,0
18,0,1,0,1,1,0
19,0,0,1,0,1,0
20,0,0,0,1,1,0
21,0,0,0,1,1,1
22,0,0,1,1,1,1
23,0,1,0,1,1,0
24,0,0,0,0,1,0
25,0,1,0,1,0,0
26,0,1,1,1,1,0
27,0,0,0,1,1,0
28,0,1,0,1,1,0
29,0,0,1,1,1,0
30,0,0,0,1,1,0
31,0,0,0,1,0,1
32,0,0,0,0,1,1
33,0,0,0,1,1,1
34,0,1,0,1,0,0
35,0,1,0,1,1,1
36,0,0,0,1,1,1
37,0,1,0,0,1,0
38,0,1,1,1,1,0
39,0,0,0,1,1,1
40,0,1,0,1,0,0
41,0,0,1,1,1,1
42,0,1,0,1,1,1
43,0,1,1,1,1,0
44,0,0,0,1,1,0
45,0,0,1,0,1,0
46,0,0,0,1,1,0
47,0,0,0,0,1,0
48,0,1,0,1,0,0
49,0,1,0,1,1,0
50,0,1,0,1,1,1
51,0,0,0,1,1,0
52,0,1,0,1,1,0
53,0,1,0,1,0,0
54,0,1,0,1,0,0
55,0,1,0,1,0,0
56,0,1,0,1,1,0
57,0,0,1,1,1,1
58,0,1,0,1,0,0
59,0,0,1,1,1,1
60,0,1,1,0,1,1
61,0,0,0,1,1,0
62,0,0,0,1,1,0
63,0,1,0,1,1,1
64,0,1,0,1,1,0
65,0,0,0,1,0,0
66,0,1,0,1,1,0
67,0,1,0,1,1,1
68,0,0,1,1,1,0
69,0,0,0,1,1,0
70,0,1,1,1,1,0
71,0,1,0,1,1,1
72,0,1,0,1,1,1
73,0,0,1,1,1,0
74,0,1,0,1,0,0
75,1,0,1,1,1,0
