,y
0,0
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,0
32,1
33,1
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,1
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,0
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,1
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,1
337,1
338,1
339,0
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,0
384,1
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,1
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,0
433,1
434,1
435,0
436,0
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,0
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,1
515,1
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,0
531,1
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,1
558,1
559,0
560,1
561,0
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,1
590,0
591,0
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,1
600,1
601,1
602,0
603,1
604,1
605,1
606,0
607,0
608,0
609,0
610,1
611,0
612,1
613,0
614,1
615,1
616,1
617,0
618,0
619,0
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,0
640,1
641,0
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,0
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,1
671,0
672,1
673,1
674,1
675,0
676,0
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,1
694,1
695,1
696,0
697,0
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,0
733,1
734,1
735,0
736,1
737,0
738,1
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,0
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,1
779,1
780,0
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,0
789,1
790,0
791,0
792,1
793,1
794,1
795,0
796,0
797,1
798,1
799,1
800,1
801,1
802,0
803,0
804,0
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,0
816,0
817,0
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,1
835,1
836,0
837,0
838,1
839,0
840,1
841,1
842,0
843,1
844,1
845,1
846,1
847,0
848,1
849,0
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,0
858,1
859,1
860,0
861,1
862,1
863,0
864,1
865,0
866,1
867,1
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,1
876,1
877,0
878,0
879,0
880,1
881,0
882,0
883,0
884,1
885,0
886,0
887,1
888,1
889,0
890,1
891,1
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,1
900,0
901,0
902,1
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,0
931,0
932,0
933,0
934,0
935,1
936,1
937,1
938,1
939,0
940,0
941,1
942,1
943,0
944,0
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,0
954,1
955,0
956,0
957,0
958,0
959,0
960,1
961,0
962,0
963,0
964,1
965,1
966,0
967,1
968,1
969,0
970,1
971,0
972,0
973,0
974,0
975,0
976,1
977,1
978,1
979,0
980,0
981,0
982,0
983,0
984,1
985,1
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,0
994,1
995,0
996,1
997,1
998,1
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,1
1015,0
1016,0
1017,0
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,1
1040,1
1041,0
1042,0
1043,0
1044,0
1045,1
1046,1
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
